speed_kmh,rpm,engine_load_pct,maf_gps,fuel_rate_lph,distance_km,speed_mps,time_s,dt_s,accel_mps2,distance_step_m,required_load_pct,power_load_deviation_pp,is_analyzable_quasi_cruise,obd_grade_class,equivalent_grade_index_pct
28.666666666666668,1314.6666666666667,75.68627450980392,12.971666666666666,2.8136990950226246,0.40984919043518525,7.962962962962963,180.0,1.0,0.0740740740740744,7.962962962962963,14.392666666666667,61.29360784313725,True,strong_uphill_or_external_load,12.0
29.0,1341.8,71.84313725490196,11.78,2.4300972850678733,0.41728121341666674,8.055555555555555,181.0,1.0,0.20370370370370328,8.055555555555555,14.481499999999999,57.361637254901964,True,strong_uphill_or_external_load,12.0
30.2,1390.4,92.39215686274511,12.602,3.356402714932127,0.4258552593666667,8.38888888888889,182.0,1.0,0.2530864197530871,8.38888888888889,14.80406,77.58809686274512,True,strong_uphill_or_external_load,12.0
31.4,1443.8,85.17647058823529,14.11,3.464162895927602,0.43348884883333333,8.722222222222221,183.0,1.0,0.3240740740740726,8.722222222222221,15.130939999999999,70.0455305882353,False,non_analyzed,12.0
32.5,1452.8333333333333,47.77777777777778,13.888333333333334,2.0232107843137257,0.443243887212963,9.027777777777777,184.0,1.0,0.09259259259259345,9.027777777777777,15.434375,32.34340277777778,False,non_analyzed,9.240972222222224
31.2,1378.2,3.215686274509804,10.256,0.06730769230769228,0.45207243047222223,8.666666666666666,185.0,1.0,-0.23765432098765515,8.666666666666666,15.07616,-11.860473725490195,False,non_analyzed,-3.388706778711484
28.833333333333332,1279.8333333333333,0.0,10.209999999999999,0.0,0.4598980575740741,8.00925925925926,186.0,1.0,-0.5648148148148149,8.00925925925926,14.437041666666666,-14.437041666666666,False,non_analyzed,-4.124869047619048
26.4,1221.2,44.31372549019608,10.24,1.3921945701357468,0.4670486284333334,7.333333333333333,187.0,1.0,-0.37566137566137403,7.333333333333333,13.797439999999998,30.51628549019608,False,non_analyzed,8.718938711484594
27.142857142857142,1265.0,92.60504201680672,12.154285714285715,3.2640966386554626,0.47519283580555566,7.5396825396825395,188.0,1.0,0.0339506172839501,7.5396825396825395,13.990816326530613,78.6142256902761,False,non_analyzed,12.0
29.2,1360.8,89.72549019607844,17.874000000000002,4.60314705882353,0.48350634638333334,8.11111111111111,189.0,1.0,0.4567901234567895,8.11111111111111,14.53496,75.19053019607844,False,non_analyzed,12.0
31.333333333333332,1444.3333333333333,66.40522875816994,18.543333333333333,3.5546907993966825,0.491566257962963,8.703703703703702,190.0,1.0,0.4497354497354493,8.703703703703702,15.112666666666668,51.29256209150327,False,non_analyzed,12.0
32.0,1445.8333333333333,44.575163398692816,12.681666666666667,1.6099472096530922,0.5007885893703704,8.88888888888889,191.0,1.0,0.20370370370370416,8.88888888888889,15.296,29.279163398692816,True,strong_uphill_or_external_load,8.365475256769376
31.4,1416.0,56.94117647058823,10.452,1.7241131221719457,0.5090575893888888,8.722222222222221,192.0,1.0,-0.03086419753086389,8.722222222222221,15.130939999999999,41.81023647058824,True,strong_uphill_or_external_load,11.945781848739497
31.0,1404.0,73.09803921568627,10.76,2.270866515837104,0.518315667661111,8.61111111111111,193.0,1.0,-0.07716049382715973,8.61111111111111,15.0215,58.07653921568627,True,strong_uphill_or_external_load,12.0
31.166666666666668,1428.3333333333333,93.33333333333333,11.755,3.1669890648567125,0.526135493773148,8.657407407407408,194.0,1.0,0.0709876543209873,8.657407407407408,15.067041666666666,78.26629166666666,True,strong_uphill_or_external_load,12.0
32.166666666666664,1461.3333333333333,80.98039215686275,13.916666666666666,3.2510897435897435,0.5348975731574074,8.935185185185185,195.0,1.0,0.18518518518518512,8.935185185185185,15.342041666666665,65.63835049019609,True,strong_uphill_or_external_load,12.0
33.0,1489.8333333333333,61.372549019607845,14.293333333333335,2.553565233785822,0.5440874179166666,9.166666666666666,196.0,1.0,0.03086419753086389,9.166666666666666,15.5735,45.79904901960785,True,strong_uphill_or_external_load,12.0
31.5,1380.8333333333333,3.9869281045751634,10.503333333333332,0.08211915535444948,0.5538079629814815,8.75,197.0,1.0,-0.31172839506172956,8.75,15.158375,-11.171446895424836,False,non_analyzed,-3.1918419701213816
28.8,1283.6,25.803921568627448,10.43,0.7658552036199096,0.5614991589611111,8.0,198.0,1.0,-0.4629629629629619,8.0,14.428160000000002,11.375761568627446,False,non_analyzed,3.2502175910364133
28.0,1290.8333333333333,83.98692810457517,10.173333333333334,2.4757390648567124,0.5694606125648151,7.777777777777778,199.0,1.0,-0.3240740740740735,7.777777777777778,14.216,69.77092810457518,False,non_analyzed,12.0
28.0,1311.6,97.41176470588235,13.562000000000001,3.807468325791856,0.5775976723166669,7.777777777777778,200.0,1.0,0.033950617283949214,7.777777777777778,14.216,83.19576470588235,False,non_analyzed,12.0
29.166666666666668,1358.1666666666667,87.97385620915031,16.993333333333336,4.308782051282051,0.5854796527314817,8.101851851851851,201.0,1.0,0.22222222222222232,8.101851851851851,14.526041666666668,73.44781454248364,False,non_analyzed,12.0
30.4,1409.8,88.86274509803921,17.168,4.401214932126697,0.5938333999833336,8.444444444444445,202.0,1.0,0.3395061728395081,8.444444444444445,14.858239999999999,74.00450509803922,False,non_analyzed,12.0
31.666666666666668,1484.3333333333333,93.59477124183007,20.031666666666666,5.402138009049775,0.6021425018981482,8.796296296296296,203.0,1.0,0.37345679012345556,8.796296296296296,15.204166666666666,78.39060457516341,False,non_analyzed,12.0
33.2,1549.4,83.84313725490196,23.945999999999998,5.790762443438915,0.6115611130055556,9.222222222222223,204.0,1.0,0.41049382716049365,9.222222222222223,15.629359999999998,68.21377725490197,False,non_analyzed,12.0
